adjectives,,,,,,,,,,,,,,cardinal numbers,,,,,,,,,,,,,,pronouns,,,,,,,,,,,,,,participles,,,,,,,,,,,,,,masculine nouns,,,,,,,,,,,,feminine nouns,,,,,,neuter nouns,,,,,,verbs,,,,,,,,,
u adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,abl,"āamhā
asmā",nt.abl.sg,ehi,nt.abl.pl,,,,,,,,,,abl,,m.abl.sg,kehici,m.abl.pl,kāyaci,f.abl.sg,kāhici,f.abl.pl,,nt.abl.sg,kehici,nt.abl.pl,,instr,"otā
ontena",m.instr.sg,ontehi,m.instr.pl,ontiyā,f.instr.sg,ontīhi,f.instr.pl,"otā
ontena",nt.instr.sg,ontehi,nt.instr.pl,,a masc pl,masc pl,,,,,,,,,,,nadī f,fem sg,,fem pl,,,u nt,neut sg,,neut pl,,,,,,,,,,,,
nom,u,m.nom.sg,"ū
avo",m.nom.pl,u,f.nom.sg,"ū
uyo",f.nom.pl,u,nt.nom.sg,"ū
ūni",nt.nom.pl,,gen,assa,nt.gen.sg,ānaṃ,nt.gen.pl,,,,,,,,,,gen,kassaci,m.gen.sg,kesañci,m.gen.pl,"kāyaci
kassāci",f.gen.sg,kāsañci,f.gen.pl,kassaci,nt.gen.sg,kesañci,nt.gen.pl,,dat,"oto
ontassa",m.dat.sg,"otaṃ
ontānaṃ",m.dat.pl,ontiyā,f.dat.sg,ontīnaṃ,f.dat.pl,"oto
ontassa",nt.dat.sg,"otaṃ
ontānaṃ",nt.dat.pl,,nom,ā,m.nom.pl,,,,,,,,,,nom,nadī,f.nom.sg,"nadī
nadiyo
najjo
najjāyo",f.nom.pl,,nom,u,nt.nom.sg,"ū
ūni",nt.nom.pl,,i aor,sg,,pl,,relfx sg,,relfx pl,,
acc,uṃ,m.acc.sg,"ū
avo",m.acc.pl,uṃ,f.acc.sg,"ū
uyo",f.acc.pl,uṃ,nt.acc.sg,"ū
ūni",nt.acc.pl,,loc,"e
amhi
asmiṃ",nt.loc.sg,esu,nt.loc.pl,,,,,,,,,,loc,"kasmiñci
kismici
kismiñci",m.loc.sg,kesuci,m.loc.pl,kāyaci,f.loc.sg,kāsuci,f.loc.pl,"kasmiñci
kismici
kismiñci",nt.loc.sg,kesuci,nt.loc.pl,,abl,"otā
ontamhā
ontasmā",m.abl.sg,ontehi,m.abl.pl,ontiyā,f.abl.sg,ontīhi,f.abl.pl,"otā
ontamhā
ontasmā",nt.abl.sg,ontehi,nt.abl.pl,,acc,e,m.acc.pl,,,,,,,,,,acc,"nadiṃ
nadiyaṃ
najjaṃ",f.acc.sg,"nadī
nadiyo
najjo
najjāyo",f.acc.pl,,acc,uṃ,nt.acc.sg,"ū
ūni",nt.acc.pl,,aor 3rd,"i
ī",aor.3.sg,"iṃsu
uṃ",,ā,,ū,,
instr,unā,m.instr.sg,ūhi,m.instr.pl,uyā,f.instr.sg,ūhi,f.instr.pl,unā,nt.instr.sg,ūhi,nt.instr.pl,,in comps,a,,,,,,,,,,,,,in comps,,,,,,,,,,,,,,gen,"oto
ontassa",m.gen.sg,"otaṃ
ontānaṃ",m.gen.pl,ontiyā,f.gen.sg,ontīnaṃ,f.gen.pl,"oto
ontassa",nt.gen.sg,"otaṃ
ontānaṃ",nt.gen.pl,,instr,"ehi
ebhi",m.instr.pl,,,,,,,,,,instr,"nadiyā
najjā",f.instr.sg,nadīhi,f.instr.pl,,instr,"unā
usā",nt.instr.sg,ūhi,nt.instr.pl,,aor 2nd,"i
o",aor.2.sg,ittha,,ise,,ivhaṃ,,
dat,"uno
ussa",m.dat.sg,"ūnaṃ
unnaṃ",m.dat.pl,uyā,f.dat.sg,ūnaṃ,f.dat.pl,"uno
ussa",nt.dat.sg,ūnaṃ,nt.dat.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"onte
ontamhi
ontasmiṃ",m.loc.sg,ontesu,m.loc.pl,"ontiyā
ontiyaṃ",f.loc.sg,ontīsu,f.loc.pl,"onte
ontamhi
ontasmiṃ",nt.loc.sg,ontesu,nt.loc.pl,,dat,ānaṃ,m.dat.pl,,,,,,,,,,dat,"nadiyā
najjā",f.dat.sg,nadīnaṃ,f.dat.pl,,dat,"uno
ussa",nt.dat.sg,ūnaṃ,nt.dat.pl,,aor 1st,iṃ,aor.1.sg,"imha
imhā",,"aṃ
a",,imhe,,
abl,"unā
umhā
usmā",m.abl.sg,ūhi,m.abl.pl,uyā,f.abl.sg,ūhi,f.abl.pl,"unā
umhā
usmā",nt.abl.sg,ūhi,nt.abl.pl,,dvi card,x pl,,,,,,,,,,,,,amu pron,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,voc,onta,m.voc.sg,ontā,m.voc.pl,"onti
ontī",f.voc.sg,"ontī
ontiyo",f.voc.pl,onta,nt.voc.sg,ontāni,nt.voc.pl,,abl,"ehi
ebhi",m.abl.pl,,,,,,,,,,abl,"nadiyā
najjā",f.abl.sg,nadīhi,f.abl.pl,,abl,"unā
umhā
usmā",nt.abl.sg,ūhi,nt.abl.pl,,,,,,,,,,,
gen,"uno
ussa",m.gen.sg,ūnaṃ,m.gen.pl,uyā,f.gen.sg,ūnaṃ,f.gen.pl,"uno
ussa",nt.gen.sg,ūnaṃ,nt.gen.pl,,nom,"dve
duve",x.nom.pl,,,,,,,,,,,,nom,"amu
asu",m.nom.sg,amū,m.nom.pl,"amu
asu",f.nom.sg,"amū
amayo
",f.nom.pl,aduṃ,nt.nom.sg,adūni,nt.nom.pl,,,,,,,,,,,,,,,,gen,ānaṃ,m.gen.pl,,,,,,,,,,gen,"nadiyā
najjā",f.gen.sg,nadīnaṃ,f.gen.pl,,gen,"uno
ussa",nt.gen.sg,ūnaṃ,nt.gen.pl,,esi aor,sg,,pl,,relfx sg,,relfx pl,,
loc,"umhi
usmiṃ",m.loc.sg,ūsu,m.loc.pl,"uyā
uyaṃ",f.loc.sg,"usu
ūsu",f.loc.pl,"umhi
usmiṃ",nt.loc.sg,ūsu,nt.loc.pl,,acc,"dve
duve",x.acc.pl,,,,,,,,,,,,acc,amuṃ,m.acc.sg,"amū
amuyo
",m.acc.pl,"amuṃ
",f.acc.sg,"amū
amayo
",f.acc.pl,"amuṃ

",nt.acc.sg,"amū
amuyo

",nt.acc.pl,,potential participle,,,,,,,,,,,,,,loc,esu,m.loc.pl,,,,,,,,,,loc,"nadiyā
nadiyaṃ
najjāṃ",f.loc.sg,nadīsu,f.loc.pl,,loc,"umhi
usmiṃ",nt.loc.sg,ūsu,nt.loc.pl,,aor 3rd,esi,aor.3.sg,esuṃ,,,,,,
voc,u,m.voc.sg,"ū
avo",m.voc.pl,u,f.voc.sg,"ū
uyo",f.voc.pl,u,nt.voc.sg,"ū
ūni",nt.voc.pl,,instr,"dvīhi
dvibhi
dvībhi",x.instr.pl,,,,,,,,,,,,instr,"amunā
",m.instr.sg,"amūhi

",m.instr.pl,"amuyā
",f.instr.sg,"amūhi
",f.instr.pl,"amunā

",nt.instr.sg,"amūhi

",nt.instr.pl,,,,,,,,,,,,,,,,voc,ā,m.voc.pl,,,,,,,,,,voc,"nadi
nadī",f.voc.sg,"nadī
nadiyo",f.voc.pl,,voc,u,nt.voc.sg,"ū
ūni",nt.voc.pl,,aor 2nd,esi,aor.2.sg,ittha,,,,,,
in comps,u,,,,,,,,,,,,,dat,"dvinnaṃ
duvinnaṃ",x.dat.pl,,,,,,,,,,,,dat,"amuno
amussa
",m.dat.sg,"amūsaṃ
amūsānaṃ
",m.dat.pl,"amussā
amuyā
",f.dat.sg,"amūsaṃ
amūsānaṃ
",f.dat.pl,"amuno
amussa
",nt.dat.sg,"amūsaṃ
amūsānaṃ
",nt.dat.pl,,"a ptp
",masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,in comps,a,,,,,,,,,,,in comps,ā,,,,,in comps,u,,,,,aor 1st,esiṃ,aor.1.sg,"imha
imhā",,,,,,
,,,,,,,,,,,,,,abl,"dvīhi
dvībhi",x.abl.pl,,,,,,,,,,,,abl,"amunā
amumhā
usmā
asmā",m.abl.sg,"amūhi

",m.abl.pl,"amuyā
",f.abl.sg,"amūhi
",f.abl.pl,"amunā
amumhā
usmā
asmā",nt.abl.sg,"amūhi
",nt.abl.pl,,nom,o,m.nom.sg,ā,m.nom.pl,ā,f.nom.sg,"ā
āyo",f.nom.pl,aṃ,nt.nom.sg,"ā
āni",nt.nom.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,gen,"dvinnaṃ
duvinnaṃ",x.gen.pl,,,,,,,,,,,,gen,"amuno
amussa
",m.gen.sg,"amūsaṃ
amūsānaṃ
",m.gen.pl,"amussā
amuyā
",f.gen.sg,"amūsaṃ
amūsānaṃ
",f.gen.pl,"amuno
amussa
",nt.gen.sg,"amūsaṃ
amūsānaṃ
",nt.gen.pl,,acc,aṃ,m.acc.sg,e,m.acc.pl,aṃ,f.acc.sg,"ā
āyo",f.acc.pl,aṃ,nt.acc.sg,"ā
āni",nt.acc.pl,,as masc,masc sg,,masc pl,,,,,,,,,ū f,fem sg,,fem pl,,,aṃ nt i,neut sg,,neut pl,,,āsi aor,sg,,pl,,relfx sg,,relfx pl,,
nom,i,m.nom.sg,"ī
ayo",m.nom.pl,i,f.nom.sg,iyo,f.nom.pl,"i
iṃ",nt.nom.sg,"ī
īni",nt.nom.pl,,loc,dvīsu,x.loc.pl,,,,,,,,,,,,loc,"amumhi
amusmiṃ
",m.loc.sg,"amūsu
",m.loc.pl,"amussaṃ
amuyaṃ
",f.loc.sg,"amūsu
",f.loc.pl,"amumhi
amusmiṃ
",nt.loc.sg,"amūsu
",nt.loc.pl,,instr,ena,m.instr.sg,ehi,m.instr.pl,āya,f.instr.sg,āhi,f.instr.pl,ena,nt.instr.sg,ehi,nt.instr.pl,,nom,o,m.nom.sg,ā,m.nom.pl,,,,,,,,nom,ū,f.nom.sg,"ū
uyo",f.nom.pl,,nom,aṃ,nt.nom.sg,"ā
āni",nt.nom.pl,,aor 3rd,āsi,aor.3.sg,aṃsu,,,,,,
acc,iṃ,m.acc.sg,"ī
ayo",m.acc.pl,iṃ,f.acc.sg,iyo,f.acc.pl,"i
iṃ",nt.acc.sg,"ī
īni",nt.acc.pl,,in comps,"dvi
dve",,,,,,,,,,,,,in comps,,,,,,,,,,,,,,dat,"āya
assa",m.dat.sg,ānaṃ,m.dat.pl,āya,f.dat.sg,ānaṃ,f.dat.pl,"āya
assa",nt.dat.sg,ānaṃ,nt.dat.pl,,acc,"o
aṃ",m.acc.sg,e,m.acc.pl,,,,,,,,acc,uṃ,f.acc.sg,"ū
uyo",f.acc.pl,,acc,aṃ,nt.acc.sg,"e
āni",nt.acc.pl,,aor 2nd,āsi,aor.2.sg,attha,,,,,,
instr,inā,m.instr.sg,"ihi
īhi",m.instr.pl,iyā,f.instr.sg,īhi,f.instr.pl,inā,nt.instr.sg,"ihi
īhi",nt.instr.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"ā
amhā
asmā",m.abl.sg,ehi,m.abl.pl,āya,f.abl.sg,āhi,f.abl.pl,"ā
amhā
asmā
ato",nt.abl.sg,ehi,nt.abl.pl,,instr,"asā
ena",m.instr.sg,ehi,m.instr.pl,,,,,,,,instr,uyā,f.instr.sg,ūhi,f.instr.pl,,instr,ena,nt.instr.sg,"ehi
ebhi",nt.instr.pl,,aor 1st,āsiṃ,aor.1.sg,amhā,,,,,,
dat,ino,m.dat.sg,"inaṃ
īnaṃ",m.dat.pl,iyā,f.dat.sg,īnaṃ,f.dat.pl,ino,nt.dat.sg,"inaṃ
īnaṃ",nt.dat.pl,,,,,,,,,,,,,,,,ubha pron,dual,,,,,,,,,,,,,gen,assa,m.gen.sg,ānaṃ,m.gen.pl,āya,f.gen.sg,ānaṃ,f.gen.pl,assa,nt.gen.sg,ānaṃ,nt.gen.pl,,dat,"aso
assa",m.dat.sg,ānaṃ,m.dat.pl,,,,,,,,dat,uyā,f.dat.sg,ūnaṃ,f.dat.pl,,dat,"āya
assa",nt.dat.sg,ānaṃ,nt.dat.pl,,,,,,,,,,,
abl,"inā
ismā
imhā
ito",m.abl.sg,"ihi
īhi",m.abl.pl,iyā,f.abl.sg,īhi,f.abl.pl,"inā
ismā
imhā
ito",nt.abl.sg,"ihi
īhi",nt.abl.pl,,,,,,,,,,,,,,,,nom,"ubho
ubhe",dual.nom.sg,,,,,,,,,,,,loc,"e
amhi
asmiṃ",m.loc.sg,esu,m.loc.pl,āyaṃāya,f.loc.sg,āsu,f.loc.pl,"e
amhi
asmiṃ",nt.loc.sg,esu,nt.loc.pl,,abl,"asā
ato
ā
amhā
asmā",m.abl.sg,ehi,m.abl.pl,,,,,,,,abl,uyā,f.abl.sg,ūhi,f.abl.pl,,abl,"ā
amhā
asmā",nt.abl.sg,"ehi
ebhi",nt.abl.pl,,ā imperf,sg,,pl,,relfx sg,,relfx pl,,
gen,"ino
issa",m.gen.sg,"inaṃ
īnaṃ",m.gen.pl,iyā,f.gen.sg,īnaṃ,f.gen.pl,"ino
issa",nt.gen.sg,"inaṃ
īnaṃ",nt.gen.pl,,,,,,,,,,,,,,,,acc,ubho,dual.acc.sg,,,,,,,,,,,,voc,"a
ā",m.voc.sg,ā,m.voc.pl,e,f.voc.sg,"ā
āyo",f.voc.pl,"a
ā",nt.voc.sg,āni,nt.voc.pl,,gen,"aso
assa",m.gen.sg,ānaṃ,m.gen.pl,,,,,,,,gen,uyā,f.gen.sg,ūnaṃ,f.gen.pl,,gen,assa,nt.gen.sg,ānaṃ,nt.gen.pl,,aor 3rd,ā,imperf.3.sg,ū,,"attha
atthu",,atthuṃ,,
loc,"ismiṃ
imhi",m.loc.sg,"isu
īsu",m.loc.pl,"iyā
iyaṃ",f.loc.sg,īsu,f.loc.pl,"ismiṃ
imhi",nt.loc.sg,"isu
īsu",nt.loc.pl,,,,,,,,,,,,,,,,instr,ubhohi,dual.instr.sg,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"asi
e
amhi
asmiṃ",m.loc.sg,esu,m.loc.pl,,,,,,,,loc,"uyā
uyaṃ",f.loc.sg,"usu
ūsu",f.loc.pl,,loc,"e
ani
amhi
asmiṃ",nt.loc.sg,esu,nt.loc.pl,,aor 2nd,o,imperf.2.sg,attha,,ase,,avhaṃ,,
voc,i,m.voc.sg,"ī
ayo",m.voc.pl,i,f.voc.sg,iyo,f.voc.pl,"i
iṃ",nt.voc.sg,"ī
īni",nt.voc.pl,,,,,,,,,,,,,,,,dat,ubhinnaṃ,dual.dat.sg,,,,,,,,,,,,"māna prp
",masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,voc,"a
ā",m.voc.sg,ā,m.voc.pl,,,,,,,,voc,u,f.voc.sg,"ū
uyo",f.voc.pl,,voc,"a
ā",nt.voc.sg,āni,nt.voc.pl,,aor 1st,"a
aṃ",imperf.1.sg,amhā,,iṃ,,amhase,,
in comps,i,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,ubhohi,dual.abl.sg,,,,,,,,,,,,nom,māno,m.nom.sg,mānā,m.nom.pl,mānā,f.nom.sg,"mānā
mānāyo",f.nom.pl,mānaṃ,nt.nom.sg,"mānā
mānāni",nt.nom.pl,,in comps,a,,,,,,,,,,,in comps,u,,,,,in comps,a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,ubhinnaṃ,dual.gen.sg,,,,,,,,,,,,acc,mānaṃ,m.acc.sg,māne,m.acc.pl,mānaṃ,f.acc.sg,"mānā
mānāyo",f.acc.pl,mānaṃ,nt.acc.sg,"mānā
mānāni",nt.acc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,ssati fut,sg,,pl,,relfx sg,,relfx pl,,
ū adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,,,,,,,,,,,,,,,loc,ubhosu,dual.loc.sg,,,,,,,,,,,,instr,mānena,m.instr.sg,mānehi,m.instr.pl,mānāya,f.instr.sg,mānāhi,f.instr.pl,mānena,nt.instr.sg,mānehi,nt.instr.pl,,a masc 2,masc sg,,masc pl,,,,,,,,,jāti f,fem sg,,fem pl,,,,,,,,,fut 3rd,ssati,fut.3.sg,ssanti,,ssate,,ssante,,
nom,ū,m.nom.sg,"ū
uno
ūno",m.nom.pl,unī,f.nom.sg,"unī
uniyo",f.nom.pl,uṃ,nt.nom.sg,"uni
ū",nt.nom.pl,,,,,,,,,,,,,,,,in comps,ubho,,,,,,,,,,,,,dat,"mānāya
mānassa",m.dat.sg,mānānaṃ,m.dat.pl,mānāya,f.dat.sg,mānānaṃ,f.dat.pl,"mānāya
mānassa",nt.dat.sg,mānānaṃ,nt.dat.pl,,nom,ā,m.nom.sg,āno,m.nom.pl,,,,,,,,nom,jāti,f.nom.sg,jātiyo,f.nom.pl,,,,,,,,fut 2nd,ssasi,fut.2.sg,ssatha,,ssase,,ssavhe,,
acc,uṃ,m.acc.sg,"ū
uno
ūno",m.acc.pl,uniṃ,f.acc.sg,"unī
uniyo",f.acc.pl,uṃ,nt.acc.sg,"uni
ū",nt.acc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"mānā
mānamhā
mānasmā",m.abl.sg,mānehi,m.abl.pl,mānāya,f.abl.sg,mānāhi,f.abl.pl,"mānā
mānamhā
mānasmā",nt.abl.sg,mānehi,nt.abl.pl,,acc,"ānaṃ
anaṃ
aṃ",m.acc.sg,āno,m.acc.pl,,,,,,,,acc,jātiṃ,f.acc.sg,jātiyo,f.acc.pl,,,,,,,,fut 1st,ssāmi,fut.1.sg,ssāma,,ssaṃ,,ssāmhe,,
instr,unā,m.instr.sg,ūhi,m.instr.pl,uniyā,f.instr.sg,unīhi,f.instr.pl,unā,nt.instr.sg,ūhi,nt.instr.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,mānassa,m.gen.sg,mānānaṃ,m.gen.pl,mānāya,f.gen.sg,mānānaṃ,f.gen.pl,mānassa,nt.gen.sg,mānānaṃ,nt.gen.pl,,instr,"anā
ena",m.instr.sg,anehi,m.instr.pl,,,,,,,,instr,"jātiyā
jaccā",f.instr.sg,jātiyo,f.instr.pl,,,,,,,,,,,,,,,,,
dat,uno,m.dat.sg,ūnaṃ,m.dat.pl,uniyā,f.dat.sg,unīnaṃ,f.dat.pl,uno,nt.dat.sg,ūnaṃ,nt.dat.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"māne
mānamhi
mānasmiṃ",m.loc.sg,mānesu,m.loc.pl,"mānāyaṃ
mānāya",f.loc.sg,mānāsu,f.loc.pl,"māne
mānamhi
mānasmiṃ",nt.loc.sg,mānesu,nt.loc.pl,,dat,ano,m.dat.sg,ānaṃ,m.dat.pl,,,,,,,,dat,"jātiyā
jaccā",f.dat.sg,jātīhi,f.dat.pl,,,,,,,,ati fut,sg,,pl,,relfx sg,,relfx pl,,
abl,unā,m.abl.sg,ūhi,m.abl.pl,uniyā,f.abl.sg,unīhi,f.abl.pl,unā,nt.abl.sg,ūhi,nt.abl.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,"māna
mānā",m.voc.sg,mānā,m.voc.pl,māne,f.voc.sg,"mānā
mānāyo",f.voc.pl,"māna
mānā",nt.voc.sg,mānāni,nt.voc.pl,,abl,anā,m.abl.sg,anehi,m.abl.pl,,,,,,,,abl,"jātiyā
jaccā",f.abl.sg,jātīnaṃ,f.abl.pl,,,,,,,,fut 3rd,ati,fut.3.sg,anti,,ate,,ante,,
gen,"uno
ussa",m.gen.sg,"ūnaṃ
unnaṃ",m.gen.pl,uniyā,f.gen.sg,unīnaṃ,f.gen.pl,"uno
ussa",nt.gen.sg,"ūnaṃ
unnaṃ",nt.gen.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,ano,m.gen.sg,ānaṃ,m.gen.pl,,,,,,,,gen,"jātiyā
jaccā",f.gen.sg,jātīhi,f.gen.pl,,,,,,,,fut 2nd,asi,fut.2.sg,atha,,ase,,avhe,,
loc,umhiusmiṃ,m.loc.sg,ūsu,m.loc.pl,"uniyā
uniyaṃ",f.loc.sg,unīsu,f.loc.pl,umhiusmiṃ,nt.loc.sg,ūsu,nt.loc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,ani,m.loc.sg,anesu,m.loc.pl,,,,,,,,loc,"jātiyā
jātiyaṃ",f.loc.sg,jātīnaṃ,f.loc.pl,,,,,,,,fut 1st,āmi,fut.1.sg,āma,,aṃ,,āmhe,,
voc,ū,m.voc.sg,"ū
uno",m.voc.pl,unī,f.voc.sg,"unī
uniyo",f.voc.pl,ū,nt.voc.sg,"uni
ū",nt.voc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,"ā
a",m.voc.sg,āno,m.voc.pl,,,,,,,,voc,jāti,f.voc.sg,jātīsu,f.voc.pl,,,,,,,,,,,,,,,,,
in comps,"u
ū",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,a,,,,,,,,,,,in comps,jāti,,,,,,,,,,,atu imp,sg,,pl,,relfx sg,,relfx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 3rd,atu,,antu,,ataṃ,,antaṃ,,
aka adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ū masc
",masc sg,,masc pl,,,,,,,,,ā f l,fem sg,,fem pl,,,,,,,,,fut 2nd,"āhi
a",,atha,,assu,,avho,,
nom,ako,m.nom.sg,akā,m.nom.pl,ikā,f.nom.sg,"ikā
āyo",f.nom.pl,akaṃ,nt.nom.sg,"akā
akāni",nt.nom.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,ū,m.nom.sg,"ū
uno
ūno",m.nom.pl,,,,,,,,nom,ā,f.nom.sg,"ā
āyo",f.nom.pl,,,,,,,,fut 1st,āmi,,āma,,e,,āmase,,
acc,akaṃ,m.acc.sg,ake,m.acc.pl,ikaṃ,f.acc.sg,"ikā
ikāyo",f.acc.pl,akaṃ,nt.acc.sg,"akā
akāni",nt.acc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,uṃ,m.acc.sg,"ū
uno
ūno",m.acc.pl,,,,,,,,acc,aṃ,f.acc.sg,"ā
āyo",f.acc.pl,,,,,,,,,,,,,,,,,
instr,akena,m.instr.sg,"akehi
akebhi",m.instr.pl,ikāya,f.instr.sg,ikāhi,f.instr.pl,akena,nt.instr.sg,"akehi
akebhi",nt.instr.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,unā,m.instr.sg,ūhi,m.instr.pl,,,,,,,,instr,āya,f.instr.sg,āhi,f.instr.pl,,,,,,,,as pr,sg,,pl,,relfx sg,,relfx pl,,
dat,"akāya
akassa",m.dat.sg,akānaṃ,m.dat.pl,ikāya,f.dat.sg,ikānaṃ,f.dat.pl,"akāya
akassa",nt.dat.sg,akānaṃ,nt.dat.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,uno,m.dat.sg,ūnaṃ,m.dat.pl,,,,,,,,dat,āya,f.dat.sg,ānaṃ,f.dat.pl,,,,,,,,pr 3rd,atthi,pr.3.sg,"atthi
santi",pr.3.pl,,pr.reflx.3.sg,,pr.reflx.3.pl,
abl,"akā
akamhā
akasmā",m.abl.sg,"akehi
akebhi",m.abl.pl,ikāya,f.abl.sg,ikāhi,f.abl.pl,"akā
akamhā
akasmā",nt.abl.sg,"akehi
akebhi",nt.abl.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,unā,m.abl.sg,ūhi,m.abl.pl,,,,,,,,abl,āya,f.abl.sg,āhi,f.abl.pl,,,,,,,,pr 2nd,asi,pr.2.sg,attha,pr.2.pl,,pr.reflx.2.sg,,pr.reflx.2.pl,
gen,akassa,m.gen.sg,akānaṃ,m.gen.pl,ikāya,f.gen.sg,ikānaṃ,f.gen.pl,akassa,nt.gen.sg,akānaṃ,nt.gen.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,"uno
ussa",m.gen.sg,"ūnaṃ
unnaṃ",m.gen.pl,,,,,,,,gen,āya,f.gen.sg,ānaṃ,f.gen.pl,,,,,,,,pr 1st,"amhi
asmi",pr.1.sg,"amha
asma",pr.1.pl,,pr.reflx.1.sg,,pr.reflx.1.pl,
loc,"ake
akamhi
akasmiṃ",m.loc.sg,akesu,m.loc.pl,"ikāya
ikāyaṃ",f.loc.sg,ikāsu,f.loc.pl,"ake
akamhi
akasmiṃ",nt.loc.sg,akesu,nt.loc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"umhi
usmiṃ",m.loc.sg,ūsu,m.loc.pl,,,,,,,,loc,"āya
āyaṃ
ati",f.loc.sg,āsu,f.loc.pl,,,,,,,,aor 3rd,"āsi
āsa",imp.3.sg,"āsiṃsu
āsuṃ",imp.3.pl,,imp.reflx.3.sg,,imp.reflx.3.pl,
voc,"aka
akā",m.voc.sg,akā,m.voc.pl,ike,f.voc.sg,"ikā
ikāyo",f.voc.pl,"aka
akā",nt.voc.sg,akāni,nt.voc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,ū,m.voc.sg,"ū
uno",m.voc.pl,,,,,,,,voc,e,f.voc.sg,"ā
āyo",f.voc.pl,,,,,,,,aor 2nd,āsi,imp.2.sg,āsittha,imp.2.pl,,imp.reflx.2.sg,,imp.reflx.2.pl,
