adjectives,,,,,,,,,,,,,,cardinal numbers,,,,,,,,,,,,,,pronouns,,,,,,,,,,,,,,participles,,,,,,,,,,,,,,masculine nouns,,,,,,,,,,,,feminine nouns,,,,,,neuter nouns,,,,,,verbs,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,"satā
santena",m.instr.sg,santehi,,,,,,,,,,,,,,,,,,,,,opt 1st,"vadeyyāmi
vajjāmi
vajjaṃ",,"vadeyyāma
vajjāma",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,"sato
santassa",m.dat.sg,"sataṃ
santānaṃ
satānaṃ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"satā
santamhā
santasmā
santā",m.abl.sg,santehi,,,,,,,,,,,,,,,,,,,,,han pr,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,"sato
santassa",m.gen.sg,"sataṃ
santānaṃ
satānaṃ",,,,,,,,,,,,,,,,,,,,,pr 3rd,"ti
ati",,anti,,ate,,"ante
are",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"sante
santamhi
santasmiṃ",m.loc.sg,santesu,,,,,,,,,,,,,,,,,,,,,pr 2nd,asi,,atha,,ase,,avhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,santa,m.voc.sg,"santo
santā",,,,,,,,,,,,,,,,,,,,,pr 1st,āmi,,āma,,e,,āmhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,santa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dā opt,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,go m,masc sg,,masc pl,,,,,,,,,,,,,,,,,,,,,opt 3rd,"dade
dadeyya
dajjeyya
dajjādajje
deyya",,"dadeyyuṃ
dajjeyyuṃ
dajjuṃ
deyyūṃ",,"dadetha
dajjetha",,"daderaṃ
dajjeraṃ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,go,m.nom.sg,"gāvo
gavo",,,,,,,,,,,,,,,,,,,,,opt 2nd,"dadeyyāsi
dajjeyyāsi
dajjāsi
deyyāsi",,"dadeyyātha
dajjeyyātha
dajjātha
deyyātha",,"dadetho
dajjetho",,"dadeyyavho
dajjavho",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,"gāvuṃ
gāvaṃ
gavaṃ",m.acc.sg,"gāvo
gavo",,,,,,,,,,,,,,,,,,,,,opt 1st,"dadeyyāmi
dajjeyyāmi
dajjāmi
deyyāmi",,"dadeyyāma
dajjeyyāma
dajjāma
deyyāma",,"dadeyyaṃ
dajjaṃ",,"dadeyyāmhe
dajjāmhe",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,"gāvena
gavena",m.instr.sg,"gohi
gobhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,"gāvassa
gavassa",m.dat.sg,"gavaṃ
gunnaṃ
gonaṃ",,,,,,,,,,,,,,,,,,,,,a perf,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"gāvā
gāvasmā
gāvamhā
gavā
gavasmā
gavamhā",m.abl.sg,"gohi
gobhi",,,,,,,,,,,,,,,,,,,,,perf 3rd,a,,ū,,ittha,,ire,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,"gāvassa
gavassa",m.gen.sg,"gavaṃ
gunnaṃ
gonaṃ",,,,,,,,,,,,,,,,,,,,,perf 2nd,e,,ittha,,ittho,,ivho,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"gāve
gāvasmiṃ
gāvamhi
gave
gavasmiṃ
gavamhi",m.loc.sg,"gāvesu
gavesu
gosu",,,,,,,,,,,,,,,,,,,,,perf 1st,aṃ,,"imha
imhā",,iṃ,,imhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,go,m.voc.sg,gāvogavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,santa,,,,,,,,,,,,,,,,,,,,,,,vac imperf,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imperf 3rd,"avaca
avacā",,avacū,,avacuttha,,avacatthuṃ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anta m,masc sg,,masc pl,,,,,,,,,,,,,,,,,,,,,imperf 2nd,avaco,,avacuttha,,avacase,,avacavhaṃ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,anto,m.nom.sg,"anto
antā",,,,,,,,,,,,,,,,,,,,,imperf 1st,avacaṃ,,avacumhā,,avaciṃ,,avacāmhase,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,antaṃ,m.acc.sg,ante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,antena,m.instr.sg,antehi,,,,,,,,,,,,,,,,,,,,,su aor,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,antassa,m.dat.sg,"antānaṃ
",,,,,,,,,,,,,,,,,,,,,aor 3rd,"asuṇi
assosi",,"asuṇiṃsu
assosuṃ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"antamhā
antasmā
antā",m.abl.sg,antehi,,,,,,,,,,,,,,,,,,,,,aor 2nd,"asuṇo
assosi",,"asuṇittha
assuttha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,antassa,m.gen.sg,"antānaṃ
",,,,,,,,,,,,,,,,,,,,,aor 1st,"asuṇiṃ
assosiṃ",,"asuṇimha
assumha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"ante
antamhi
antasmiṃ",m.loc.sg,antesu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,"anta
ante",m.voc.sg,"anto
antā
ante",,,,,,,,,,,,,,,,,,,,,dā pr,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,anta,,,,,,,,,,,,,,,,,,,,,,,pr 3rd,deti,,denti,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pr 2nd,desi,,detha,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ā letter,masc sg,,masc pl,,,,,,,,,,,,,,,,,,,,,pr 1st,"demi
dammi",,"dema
damma",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nom,ā,m.nom.sg,ā,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,āṃ,m.acc.sg,e,,,,,,,,,,,,,,,,,,,,,brū pr,sg,,pl,,relfx sg,,relfx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instr,ena,m.instr.sg,"ehi
ebhi",,,,,,,,,,,,,,,,,,,,,pr 3rd,"brūti
bravīti",pr.3.sg,bruvanti,pr.3.pl,brūte,pr.reflx.3.sg,bruvante,pr.reflx.3.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dat,"āya
āssa",m.dat.sg,ānaṃ,,,,,,,,,,,,,,,,,,,,,pr 2nd,brūsi,pr.2.sg,brūtha,pr.2.pl,brūse,pr.reflx.2.sg,bruvhe,pr.reflx.2.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abl,"ā
āmhā
āsmā",m.abl.sg,"ehi
ebhi",,,,,,,,,,,,,,,,,,,,,pr 1st,brūmi,pr.1.sg,brūma,pr.1.pl,bruve,pr.reflx.1.sg,brumhe,pr.reflx.1.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gen,āssa,m.gen.sg,ānaṃ,,,,,,,,,,,,,,,,,,,,,imp 3rd,"brūtu
 bravitu",imp.3.sg,bruvantu,imp.3.pl,,imp.reflx.3.sg,,imp.reflx.3.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"e
āmhi
āsmiṃ",m.loc.sg,esu,,,,,,,,,,,,,,,,,,,,,imp 2nd,brūhi,imp.2.sg,brūtha,imp.2.pl,,imp.reflx.2.sg,,imp.reflx.2.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voc,ā,m.voc.sg,ā,,,,,,,,,,,,,,,,,,,,,imp 1st,brūmi,imp.1.sg,brūma,imp.1.pl,,imp.reflx.1.sg,,imp.reflx.1.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,ā,,,,,,,,,,,,,,,,,,,,,,,opt 3rd,"bruve
 bruveyya",opt.3.sg,bruveyyuṃ,opt.3.pl,bruvetha,opt.reflx.3.sg,bruveraṃ,opt.reflx.3.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt 2nd,bruveyyāsi,opt.2.sg,bruveyyātha,opt.2.pl,bruvetho,opt.reflx.2.sg,bruveyyavho,opt.reflx.2.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt 1st,bruveyyāmi,opt.1.sg,bruveyyāma,opt.1.pl,bruveyyaṃ,opt.reflx.1.sg,bruveyyāmhe,opt.reflx.1.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 3rd,bravissati,fut.3.sg,bravissanti,fut.3.pl,bravissate,fut.reflx.3.sg,bravissante,fut.reflx.3.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 2nd,bravissasi,fut.2.sg,bravissatha,fut.2.pl,bravissase,fut.reflx.2.sg,bravissavhe,fut.reflx.2.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 1st,bravissāmi,fut.1.sg,bravissāma,fut.1.pl,bravissaṃ,fut.reflx.1.sg,bravissāmhe,fut.reflx.1.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kar pr,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pr 3rd,"karoti
kubbati",pr.3.sg,"karonti
kubbanti",pr.3.pl,"kurute
kubbate",pr.reflx.3.sg,kubbante,pr.reflx.3.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pr 2nd,"karosi
kubbasi",pr.2.sg,"karotha
kubbatha",pr.2.pl,"kuruse
kubbase",pr.reflx.2.sg,"kuruvhe
kubbavhe",pr.reflx.2.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pr 1st,"karomi
kubbāmi",pr.1.sg,"karoma
kubbāma",pr.1.pl,"kare
kubbe",pr.reflx.1.sg,"kurumhe
kubbamhe",pr.reflx.1.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imp 3rd,"karotu
kubbatu",imp.3.sg,"kabntu
kubbantu",imp.3.pl,"kurutaṃ
kubbataṃ",imp.reflx.3.sg,kubbantaṃ,imp.reflx.3.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imp 2nd,"karohi
kubbāhi",imp.2.sg,"karotha
kubbatha",imp.2.pl,"karassu
kurussu
kubbassu",imp.reflx.2.sg,"kuruvho
kubbavho",imp.reflx.2.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imp 1st,"karomi
kubbāmi",imp.1.sg,"karoma
kubbāma",imp.1.pl,"kare
kubbe",imp.reflx.1.sg,"karomase
kubbāmase",imp.reflx.1.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt 3rd,"kare
kareyya
kayirā
kubbe
kubbeyya
kubbaye",opt.3.sg,"kareyyuṃ
kubbeyyuṃ
kayiruṃ",opt.3.pl,"kayirātha
kubbetha",opt.reflx.3.sg,kubberaṃ,opt.reflx.3.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt 2nd,"kareyyāsi
kubbeyyāsi
kayirāsi",opt.2.sg,"kareyyātha
kubeyyātha
kayirātha",opt.2.pl,kubbetho,opt.reflx.2.sg,kubbeyyavho,opt.reflx.2.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt 1st,"kareyyāmi
kubeyyāmi
kayirāmi",opt.1.sg,"kareyyāma
kubeyyāma
kayirāma",opt.1.pl,"karekareyyaṃ
kubbeyyaṃ",opt.reflx.1.sg,"kareyyāmhe
kubbeyyāmhe",opt.reflx.1.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 3rd,"karissati
kāhati
kāhiti",fut.3.sg,"karissanti
kāhanti
kāhinti",fut.3.pl,"karissate
kāhate",fut.reflx.3.sg,"karissante
kāhante",fut.reflx.3.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 2nd,"karissasi
kāhasi
kāhisi",fut.2.sg,"karissatha
kāhattha",fut.2.pl,"karissase
kāhase",fut.reflx.2.sg,"karissavhe
kāhavhe",fut.reflx.2.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 1st,"karissāmi
kassāma
karissaṃ
kassaṃ
kāhāmi",fut.1.sg,"karissāma
kassāma
kahāma",fut.1.pl,"karisse
kāhe",fut.reflx.1.sg,"karissāmhe
kāhamhe",fut.reflx.1.pl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,āti fut,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 3rd,āti,,anti,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 2nd,āsi,,ātha,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 1st,āmi,,āma,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,har aor,sg,,pl,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aor 3rd,"hari
hāsi",,"hariṃsu
haṃsu",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aor 2nd,"haro
hari
hāsi",,"harittha
hāsittha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aor 1st,"hariṃ
hāsiṃ",,"harimha
harimhā
hāsimha",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dakkh pr,sg,,pl,,reflx sg,,reflx pl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pr 3rd,"dakkhati
dakkhiti",,"dakkhanti
dakkhinti",,dakkhate,,"dakkhante
dakkhare",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pr 2nd,dakkhasi,,dakkhatha,,dakkhase,,dakkhavhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pr 1st,dakkhāmi,,dakkhāma,,dakkhe,,dakkhāmhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 3rd,"dakkhiti
dakkhissati",,"dakkhinti
dakkhissanti",,dakkhissate,,dakkhissante,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 2nd,"dakkhisi
dakkhissasi",,dakkhissatha,,dakkhissase,,dakkhissavhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 1st,dakkhissāmi,,dakkhissāma,,"dakkhissaṃ
dacchaṃ",,dakkhissāmhe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
